Name,Frequency
NURİTTİN,1221
SEDRETTİN,1220
ŞİRİN,1219
İBRAHİM HAKKI,1216
RUŞEN,1213
MEHMET ARİF,1202
MEHMET NEZİR,1200
MEHMET REŞAT,1197
ÖNER,1196
GIYASETTİN,1190
KAŞİF,1190
MEHMET BEŞİR,1187
MEHMET İHSAN,1185
HAZIM,1181
ŞAFAK,1181
VASFİ,1178
MAZLUM,1176
ZABİT,1175
MÜNÜR,1174
TUĞRUL,1169
METE,1164
NAHİT,1160
ZEHNİ,1159
ŞERİF ALİ,1159
MEHMET ŞEFİK,1155
CASİM,1152
FEDAİ,1145
ALİ EKBER,1137
MİTAT,1135
CASIM,1132
ZİKRİ,1132
KÜRŞAT,1131
ŞAHİSMAİL,1131
FİLİT,1125
HİCABİ,1121
MEHDİ,1116
SÜRMELİ,1116
KADEM,1114
ALİHAN,1109
RİDVAN,1107
ÇAĞLAR,1106
TANJU,1103
DİNÇER,1101
ÖMER ALİ,1097
ATALAY,1096
KALENDER,1095
FAZİL,1094
ECEVİT,1092
SİNO,1091
CEYHUN,1089
NAMIK KEMAL,1088
HALAF,1085
CEYHAN,1078
KUBİLAY,1075
ÜMÜT,1075
CABBAR,1074
FADİL,1074
ALPARSLAN,1069
CEMALİ,1065
ABDÜLAZİZ,1063
SULHATTİN,1060
SELAHETTİN,1059
ALİ FUAT,1057
ALİOSMAN,1056
ATA,1056
CİMŞİT,1056
ZİVER,1050
RAUF,1038
MÜJDAT,1036
CEVHER,1034
HACI BEKİR,1033
AYVAZ,1032
ERGUN,1030
KUDDUSİ,1029
ZİYAETTİN,1029
CUMA ALİ,1027
KAYHAN,1027
FURKAN,1024
HASAN FEHMİ,1023
NAFİ,1022
MEMET EMİN,1019
ÖZAY,1018
AYDOĞAN,1017
SERHAN,1017
ENSAR,1016
HURŞUT,1015
ATAKAN,1012
MEHMET KEMAL,1007
ŞEMSEDDİN,1006
MEHMET CEMAL,1003
SAYİT,1003
CABİR,999
BİLGİN,997
FERRUH,994
TELAT,993
PEHLÜL,991
MUHAMMET ALİ,989
ALİSEYDİ,988
MULLA,985
ÖMER OSMAN,985
İLKAY,984
KELEŞ,983
NAZİR,981
ALO,979
MELİK,974
ERCÜMENT,973
